"title","url","stars","name","reviewUrl","text"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Mahendra Cahya Pra Setyawan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pnd1FXbFFUVVJEYW1VeFFXWkxiVXN3YmxBNVVGRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjgwQWlQTURDamUxQWZLbUswblA5UFE%7C0d0Jvz5JzqG%7C?hl=en","Jalan pagi di sekitaran Jatim Park 1, masih sepi."
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Erypurbo Watiningsih","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGTExUWkJkM1F4VVhaSk0yY3lXVWhqUkRNd1IyYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOkFLLTZBd3QxUXZJM2cyWUhjRDMwR2c%7C0d-W6R9N6NK%7C?hl=en","Sangat menyenangkan dan asyik"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Qutwa Hasanah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKbFFrUnJaa1ZEZFVVMmQxOXhNMWRRT1ZScFZIYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOlJlQkRrZkVDdUU2d19xM1dQOVRpVHc%7C0d-Owi4sq5w%7C?hl=en","Seru banget, banyak wahana juga"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Romli Reso","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xJd2FERXdZMlZsVnpadVdtcFZlV0ZMVUhjdGNtYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOlIwaDEwY2VlVzZuWmpVeWFLUHctcmc%7C0cz_tPCISxp%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Dimas Putra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21ONVdubENPVFJWYm5CRFdFOHlVakZpUW1wNGJHYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOmN5WnlCOTRVbnBDWE8yUjFiQmp4bGc%7C0czTgoHmV1G%7C?hl=en","Seru menyenangkan"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","ceriwis ngewes","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxVGJWbEdiR2wwTlVoNk56RnZhWEExWVVkV2JrRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOk1TbVlGbGl0NUh6NzFvaXA1YUdWbkE%7C0czPRIDQsAY%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Carissa Aneira","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poM1pEVmFWbk01VGw4NFZXbGtSbFpOU0hsa2QxRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjh3ZDVaVnM5Tl84VWlkRlZNSHlkd1E%7C0cz0cBKG2HH%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Wahyu Dwipayana","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKdWJsazRhMFV3Ylcxa09XOUhURjk2WlhjeGVtYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOkJublk4a0UwbW1kOW9HTF96ZXcxemc%7C0cyBUQJHdSM%7C?hl=en","Tempat wisata yang super seru! 🎢 Di Jatim Park 1 ada banyak wahana menarik yang cocok untuk semua umur, dari yang santai sampai yang menantang 😄. Selain bermain, ada juga Museum Tubuh yang edukatif banget — bisa belajar sambil jalan-jalan 🧠✨. Cocok untuk liburan bareng keluarga atau teman-teman biar bisa seru-seruan rame-rame! 🎉"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","3","Reza Sinchan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xoR00ydFFaSEo0ZGtWclZFVTJOa3BHZUd0RFgyYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOlhGM2tQZHJ4dkVrVEU2NkpGeGtDX2c%7C0cy5ZWVSd66%7C?hl=en","SARAN SAJA UNTUK PIHAK PENGELOLA AGAR DISEDIAKAN TEMPAT UNTUK MEROKOK, KARNA BANYAK YANG NGEROKOK DI TEMPAT DUDUK DI DEKAT WAHANA ANAK DAN ITU SANGAT MENGGANGGU. TAPI SAYA TIDAK TAU DISINI ADA LARANGAN MEROKOK ATAU TIDAK, TERIMAKASIH 🙏🏻"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","ali rahmatullah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xjd2EyTm5XbTF0WlhKYU5sRTFZM1ZVUTBNM0xYYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOlcwa2NnWm1tZXJaNlE1Y3VUQ0M3LXc%7C0cxXhDeR1dY%7C?hl=en","SERU BGT KESANA"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Firda John","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkb1dIWm9WVUoxYkhFeGEwdDVkR05mUVhKUmExRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjdoWHZoVUJ1bHExa0t5dGNfQXJRa1E%7C0cx2G0tveuB%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Yoga Sutrisna","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkbFYxOVJXRkpUZWtaRFpsRnpXRVJWUkVOSU0zYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjdlV19RWFJTekZDZlFzWERVRENIM3c%7C0cwtwi6tCci%7C?hl=en","Sangat menyenangkan"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Miftahul Jannah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxS1VGQkVRWEpJUjI1Qk1rd3pPWFV3YVRKVVQxRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOk1KUFBEQXJIR25BMkwzOXUwaTJUT1E%7C0cwDwgO-j1x%7C?hl=en","tempatnya bagus dan seru kesana tahun kemarin sekitaran bulan desember, wahanana bener bener menguji adrenalin, aku kesana sama temenku ugi dan yesrika, setelah naik wahana 360 kami bertiga muntah😭😂 seruuu bangettt, mudahan nanti bisa kesini lagi bersama keluarga kecil kami masing masing hihi,  I hope this review will be a memory of the three of us and a good review for JTP 1🥰💖💞"
